Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Presymptomatic,,,Gardening,"You have a garden you're really proud of and enjoy getting to work on every year. As you think about getting older, you wonder how your ability to do this pastime will change. You think about how your HD symptoms could prevent you from caring for your plants, and they'll die.",,"In the future, your symptoms will cause your plants to...",Die,Thrive,./images/Gardening.jpeg,
Presymptomatic,,,House For Sale,"You have been at your current home for a while, and you have just decided to sell your house. At first, you feel excited, but when you think about the packing up and moving, you're not sure you'll be able to. With your condition, moving seems daunting.","You realize that despite your diagnosis, you're confident in your ability to coordinate movers and complete the move successfully. So after thinking about it, you feel more upbeat.",Do you trust that you'll be able to pull off the move?,Yes,No,./images/House_For_Sale.jpeg,
Presymptomatic,,,Research Study,"For the first time, you're taking part in a research study about HD. When someone tells you that you've been picked as a participant, you don't know what to expect. As you think about it more, you begin to feel uneasy.","The research team tells you that your participation is completely voluntary, and you can opt out at anytime. After that, you start to feel more relaxed.",You felt better because you know... ,You can stop any time,You must continue on,./images/Research_Study.jpeg,
Presymptomatic,,,Navigating Around Town,"In the past, you tested yourself to see if you could navigate around town without technology. As time has gone by, you've had to start using your GPS more, which concerns you. You decide to make it a game to switch back and forth from your intuition to your GPS, and this is exciting.",,Testing your navigation skills even if you rely on technology is still... ,Rewarding.,Boring.,./images/Navigating_Around_Town.jpeg,
Presymptomatic,,,Work Concentration,You are at work trying to finish a project before the deadline. You are having trouble concentrating on your work and worry what your supervisor will think about your ability to meet the deadline. You remember that your supervisor knows about your diagnosis and will be understanding.,,Your supervisor will be...,understanding,disappointed,./images/Work_Concentration.jpeg,
Presymptomatic,,,Babysitting Questions,"You are babysitting your nephew and playing toys with him. You start having difficulty getting words out when he bombards you with questions. You remember that even if you can't answer all his questions, your presence already makes him h(a)ppy.",,Your nephew is...,Happy to be with you.,Feeling impatient.,./images/Babysitting_Questions.jpeg,
Presymptomatic,,,Forgotten Ingredients,"You are making a new recipe for dinner that your friend just shared with you over the phone a few minutes ago. You've already forgotten a few of the ingredients and are feeling frustrated that your memory isn't what it used to be. You realize you can call your friend back, and they would share the recipe again happily.",,Your friend would share the recipe again...,Happily.,Reluctantly.,./images/Forgotten_Ingredients.jpeg,
Presymptomatic,,,Dedicated Teacher,"You are dedicated to your job as a teacher. Since your HD diagnosis, you have been worried about doing a good job in the classroom. You reassure yourself that even if your symptoms slow you down, your years of experience will help.",,You should be able to…,Teach well,Teach poorly,./images/Dedicated_Teacher.jpeg,
Presymptomatic,,,Lost Things,"Throughout the past week, you've continuously lost track of things, like your keys and your wallet. You've had some recent stressors in your life, and losing track of your things makes you even more anxious. You remember that stress can make your memory worse, and as things calm down, your memory will probably get better.",,Will it be easier to remember things when you have less to worry about?,Yes,No,./images/Lost_Things.jpeg,
Presymptomatic,,,Lost Things,"Throughout the past week, you've continuously lost track of things, like your keys and your wallet. You've had some recent stressors in your life, and losing track of your things makes you even more anxious. You remember that stress can make your memory worse, and as things calm down, your memory will probably get better.",,Will it be easier to remember things when you have less to worry about?,Yes,No,./images/Lost_Things.jpeg,
Presymptomatic,,,Household responsibilities,"You take pride in taking on unliked chores. You have been feeling more fatigued recently and you have had to let others around you take on more of your tasks. You think about how lately when you discuss chores, your family members seem to be annoyed.",,Your family seems...,Frustrated,Happy,./images/Household_responsibilities.jpeg,
Presymptomatic,,,Taking Time Off,"At work you've noticed more difficulty typing. You decide to email your boss to ask to take time off to focus on your health. You see a reply pop up in your email after a while, and you feel scared. ",Your boss is very kind in their reply and would like to meet with you. You can think clearly now and you are feeling more calm.,You did not want to ask for time off because... ,You were fearful,You did not need time off,./images/Taking_Time_Off.jpeg,
Presymptomatic,,,Weekly Game Night,"You usually lead the scoreboard during your family's weekly game night. You notice that you've been scoring less points over time. You figure your children must be getting better, and that makes you feel great.",,Thinking about your family succeeding in game night makes you feel... ,Awesome.,Terribly.,./images/Weekly_Game_Night.jpeg,
Presymptomatic,,,Memory Training,"You've been struggling with your memory lately, so you've started learning a new technique for remembering lists of items. Training your brain to memorize lists has been a challenge. You remember more items as you practice the technique more, and this is very rewarding. ",,Learning a new memory technique has been... ,A useful challenge.,A useless task.,./images/Memory_Training.jpeg,
Presymptomatic,,,Worsening condition,"Your parent has Huntington's disease, and as they've gotten older it has been difficult to watch their condition worsen. As you age, you wonder if your symptoms will reach the severity level of theirs. You begin to feel nervous about your future.","You spend some time with your family and friends and realize if your symptoms become that severe, you will still be surrounded by loved ones who care.",Will there be people who care about you that help you in the future?,Yes,No,./images/Worsening_condition.jpeg,
Presymptomatic,,,Caring for Children,"You were recently diagnosed with HD and are aware of the challenges that lie ahead. The changing symptoms and unpredictable nature of your condition makes you question whether you will be able to provide the necessary care for your children. However, your family reminds you that you are not alone and you feel reassured.",,"As your symptoms progress, you will be...",supported. ,alone. ,./images/Caring_for_Children.jpeg,
Presymptomatic,,,Question at Work,"At a meeting at work, you forget the answer to an important question. Your colleagues exchange glances that leave you unsure about how they perceive your capabilities due to your HD diagnosis. However, one colleague extends a helping hand offering to fill you in, and you think that your colleagues are supportive.",,Your colleagues make you feel...,supported.,self-conscious. ,./images/Question_at_Work.jpeg,
Presymptomatic,,,Planning a Family Vacation,"Your family is planning a big vacation in a few years' time. You wonder what life will look like for you by then, and whether the vacation will be possible. No matter what the future holds, you will still be able to enjoy time with your family- whether or not that includes traveling- and your family will be supportive.  ",,This vacation...,will not stand between you and your family.,will cause tension between you and your family.,./images/Planning_a_Family_Vacation.jpeg,
Presymptomatic,,,Forgetting the Laundry,"You notice that you forgot to do the laundry and will have to do it tomorrow. Tasks like this slip your mind more often now, and you worry about how you will function in the future. You acknowledge that things are changing, but you are still capable.",,Will you be able to do the laundry tomorrow?,Yes,No,./images/Forgetting_the_Laundry.jpeg,
Presymptomatic,,,Disagreement with a Friend,"You recently got into a fight with a close friend because you forgot their birthday. You've been feeling more irritable lately, and disagreements like this are becoming common. You think about the history between you and your friend, and you know that your friendship will stay strong.",,Will your friendship be alright?,Yes,No,./images/Disagreement_with_a_Friend.jpeg,
