Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Early/Mid-Stage Symptoms,Presymptomatic,,Replying to Email,"You receive an email from work marked ""EMERGENCY."" You've been having difficulty typing, so you close the email and decide to respond later. When you return to your computer 30 minutes later, your boss has sent you a message, and you worry that he is disappointed. ",You decide to check in with your boss to see how he's feeling. His nice response leaves you feeling upbeat.,Did your boss respond angrily?,No,Yes,https://drive.google.com/file/d/1-OMdxO39VIo1oc2mCxNO6wAF5iXqhavi/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Name Recall ,"You are on your daily walk in the park, and you see the same person you had a conversation with yesterday. Unfortunately, you can't seem to remember their name. When you ask for their name again, they say, ""I was going to ask you the same thing,"" and you both laugh.",,The new friend's response is a sign of...,Relief,Frustration,https://drive.google.com/file/d/1-gplsrkstHN1k8EM-Yw2gIzBsQecwmRD/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Dismissive Doctor,You have a visit with your doctor today in regards to some new symptoms of PD you've been experiencing. Your doctor doesn't seem to be listening intentionally and forgets some of the signs you mentioned. You kindly repeat your concerns knowing their day has likely been long. ,,You know you've had long days before and decide to be...,Empathetic,Impatient,https://drive.google.com/file/d/1fxf7ZFL0zQyu8KpLAwGXMzTXloWaSh-O/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Holding the Phone,"You've been noticing your hands shaking badly when you hold your phone. Lately, you've even been dropping the phone on the ground as you're talking. When your phone rings in public, you avoid answering because you worry about feeling embarrassed.",,Your symptoms are affecting your social life...,Negatively,Positively,https://drive.google.com/file/d/1EToBS2Cxva4bbn7nPMI_9MwVgUMWp19m/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Birthday Cards,"You are known in your family for sending birthday cards on time every year. This year, several of your family members got their cards late because you forgot to check your calendar. You think that you forgot about the cards because you have been busy. ",,You most likely forgot to send the cards due to...,Being busy,Developing symptoms of dementia,https://drive.google.com/file/d/14niEyLGSPNbQ2bhnl2fEHkfn466uITXJ/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Beach Vacation,"You are on your family's annual beach vacation. Your nieces and nephews want you to go in the water with them, but you are nervous about staying balanced with the crash and force of the waves. You think about how they will be with you in the water and decide to go have some fun. ",,Swimming in the ocean with your nieces and nephews will be...,Amusing,Unpleasant,https://drive.google.com/file/d/1YOsR5ZkYgSkC00smfJhiJW70Ka1ZnVdK/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Loan Repayment,"You have spent years repaying loan debt from your house, schooling, and cars. As you notice more signs of HD, you worry that you won't have enough time to pay off the loans. You set up a meeting with a financial planner, helping you feel more prepared.",,Taking steps to assess your finances makes you feel...,Organized,Ruined,https://drive.google.com/file/d/1vVohWRoemj2MWU5POeXrUhaQkK2PxIZS/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Difficulty Baking,"For the first time since being diagnosed with PD, you find yourself confused by a familiar cake recipe. You ask your spouse a question about the recipe, and they go quiet. When you look into your spouse's eyes, their emotions are unclear.","You ask about how they're feeling, and they respond that they're trying to remember the answer to your question. This makes you feel comforted.","After your spouse explains their silence, you feel...",Comforted,Worried,https://drive.google.com/file/d/1QWo8EppDW6fRa-Pcx0ZMJHkZJRvayVBk/view?usp=drive_link,
Early/Mid-Stage Symptoms,,,Farmer's Market,"You enjoy going to the local farmer's market every week. Lately, you've been struggling to get the motivation to go, fearing that others will notice your PD symptoms, but you get the courage to go today. When you arrive at the market, you see many familiar faces that look at you with a smile.",,The familiar vendors greet you with...,Joy,Suspicion,https://drive.google.com/file/d/1fERurJqWGtqVPuX5G8_oKZSgoPY0IFC2/view?usp=drive_link,
Early/Mid-Stage Symptoms,Presymptomatic,,Travel Dreams,"You haven't gotten to travel very much in your life due to family and other commitments. You always told yourself you would start traveling later in life, but your diagnosis of PD is giving you doubts. Despite the concern, you book a flight, anticipating the opportunity to explore.",,The thought of traveling despite your PD is...,Thrilling,Terrifying,https://drive.google.com/file/d/1mZlgROfbskF0IrMl9o_BNzD3h4_CH_lj/view?usp=sharing,
Early/Mid-Stage Symptoms,,,Disease and Identity,"You feel as if PD has become central to your identity. You have recently been feeling the burden of explaining your diagnosis in every conversation, especially with new people. You begin to understand your disease as something that can be both shared and kept private. ",,Sharing or withholding your PD from others is...,Your decision,Forced,https://drive.google.com/file/d/1TbHLyEa4ePyNMPx1TCIEVszkjXyboWdZ/view?usp=sharing,
Early/Mid-Stage Symptoms,,,A Tricky Hike,"You love the great outdoors but have discovered recent unsteadiness in your footing when hiking. Friends notice the change and ask you about what's going on. When you answer, your friends realize that your fun escape has become a tricky challenge.",One of your friends finds the perfect walking stick and hands it to you. You continue on your walk feeling supported.,"With the walking stick, you feel...",Secure.,Incapable.,https://drive.google.com/open?id=10mxM5s6suI763Y6FdwkSPK6q4jk5ay81&usp=drive_copy,
Early/Mid-Stage Symptoms,,,Hiking Hiatus,"You love to go hiking, but since your PD has been progressing, you fear going alone. You message a friend about your concerns, and they don't respond immediately. After a few minutes, your friend responds that your desire to continue hiking is good.",,Your friend thinks that your desire to continue an activity you love is...,Healthy,Foolish,https://drive.google.com/file/d/1Fh_XrPCwRNFh2FzdypCmaq_7RIwLe_A8/view?usp=sharing,
,,,Write Your Own,,,,,,,
,,,Write Your Own,,,,,,,
,,,Write Your Own,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
Early/Mid-Stage Symptoms,Presymptomatic,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,Presymptomatic,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,Presymptomatic,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,Presymptomatic,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Early/Mid-Stage Symptoms,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
